word,frequency
trump,251
crooked,230
people,206
just,198
rt,178
get,146
vote,140
new,138
never,93
cruz,84
country,84
ted,75
jobs,75
enjoy,75
speech,73
us,72
see,72
u,69
go,66
wow,65
much,65
good,64
poll,62
job,61
love,52
look,52
even,52
must,47
polls,41
got,41
ever,41
run,39
news,38
need,38
crowd,36
let,35
two,32
system,31
keep,29
proud,28
lost,27
votes,26
yet,25
romney,25
mr,25
voters,24
put,24
gop,21
cnn,20
dems,19
street,18
pence,18
looks,18
john,18
guy,18
close,18
voted,17
press,17
hope,17
truly,16
next,16
fox,16
zero,15
spent,15
seen,15
open,15
lot,15
joke,15
house,15
end,15
secret,14
results,14
protect,14
less,14
left,14
dumb,14
respect,13
jeb,13
future,13
crowds,13
voter,12
used,12
use,12
proven,12
problem,12
oh,12
knew,12
growth,12
gov,12
center,12
tune,11
set,11
needs,11
lose,11
kentucky,11
gets,11
event,11
energy,11
county,11
club,11
book,11
tv,10
tpp,10
shot,10
refuses,10
j,10
else,10
vs,9
sure,9
protesters,9
potus,9
joe,9
hrc,9
guns,9
funny,9
drop,9
dnc,9
destroy,9
vets,8
thugs,8
tell,8
spoke,8
refugees,8
problems,8
ny,8
loves,8
fool,8
expected,8
elected,8
deleted,8
vp,7
turned,7
term,7
strength,7
st,7
server,7
self,7
room,7
rest,7
pres,7
post,7
pols,7
low,7
golf,7
feel,7
dem,7
bosses,7
wrote,6
truth,6
successful,6
spend,6
serve,6
represent,6
referred,6
plus,6
old,6
june,6
jose,6
hopefully,6
gotten,6
fun,6
full,6
free,6
found,6
events,6
etc,6
due,6
denver,6
debt,6
cost,6
columbus,6
clue,6
bush,6
broken,6
w,5
tx,5
turns,5
try,5
trouble,5
tn,5
success,5
stevens,5
settled,5
sent,5
rnc,5
rhode,5
reuters,5
quote,5
pm,5
nh,5
nbc,5
mn,5
luck,5
judge,5
god,5
except,5
europe,5
elect,5
drug,5
defense,5
defend,5
dc,5
cut,5
choker,5
budget,5
brussels,5
turn,4
three,4
though,4
tennessee,4
steel,4
sense,4
sell,4
secure,4
scott,4
sc,4
rep,4
prove,4
properly,4
process,4
pledge,4
needed,4
nc,4
msm,4
mrs,4
losses,4
loss,4
losers,4
loser,4
hurts,4
hurt,4
hotel,4
guts,4
gun,4
govt,4
follow,4
focus,4
express,4
enjoyed,4
dept,4
complete,4
college,4
co,4
chuck,4
chosen,4
broke,4
•,3
—,3
yes,3
wsj,3
volunteers,3
uk,3
trust,3
suffers,3
style,3
spoken,3
sleepy,3
shut,3
sen,3
seems,3
schultz,3
runs,3
rudy,3
rock,3
recently,3
re,3
push,3
protest,3
proper,3
project,3
pro,3
pressure,3
pledged,3
peter,3
nj,3
mosul,3
loved,3
level,3
led,3
ky,3
koch,3
jump,3
judges,3
jersey,3
hook,3
goes,3
flynn,3
flunky,3
eyes,3
exposed,3
expect,3
execs,3
everett,3
e,3
drudge,3
dr,3
destroyed,3
deepest,3
completely,3
cold,3
closed,3
cbs,3
boy,3
bluffs,3
blow,3
blew,3
"
full",3
⬇️,2
~,2
y,2
wv,2
venue,2
usss,2
urged,2
unless,2
t…,2
trump’s,2
trumps,2
thr,2
terre,2
tens,2
telepromter,2
teleprompter,2
surrounded,2
suffered,2
subjects,2
stuff,2
students,2
smoothly,2
sleep,2
shoot,2
seven,2
served,2
send,2
secy,2
secretly,2
schools,2
school,2
rules,2
rough,2
root,2
result,2
respected,2
res,2
repub,2
refuse,2
refugee,2
quest,2
put…,2
puts,2
purpose,2
pure,2
pueblo,2
proves,2
protects,2
protected,2
prosecuted,2
progress,2
pretty,2
pretended,2
perry,2
perfect,2
opposed,2
ok,2
nyc,2
nuts,2
nm,2
nfl,2
newt,2
murders,2
msnbc,2
moves,2
move,2
modern,2
mocked,2
mock,2
ltg,2
lou,2
lots,2
looked,2
locker,2
levels,2
letter,2
kkk,2
kelly,2
keeps,2
joseph,2
jesse,2
jeff,2
hundreds,2
hosted,2
holds,2
grow,2
green,2
greeley,2
google,2
gold,2
gettysburg,2
gee,2
funded,2
fund,2
fully,2
fools,2
folks,2
fell,2
feels,2
f,2
extend,2
expose,2
explode,2
experts,2
est,2
endlessly,2
empty,2
employ,2
ed,2
dt,2
drugs,2
djt,2
deserve,2
decent,2
currently,2
current,2
crush,2
cox,2
costs,2
compete,2
closet,2
chooses,2
choked,2
buy,2
burned,2
bull,2
boss,2
bob,2
blue,2
blocked,2
bless,2
bc,2
b,2
􏰀,1
🚂💨💨🇺🇸🇺🇸🇺🇸,1
🚂,1
👿,1
👍🏻,1
🇺🇸🇺🇸,1
⬇,1
❤,1
✔️,1
☉,1
“respectfully,1
“red,1
“open,1
‘must,1
‘food,1
‘blew,1
zucker,1
yt,1
yrs,1
wrecked,1
wounds,1
wounded,1
wgc,1
vt,1
vps,1
vote…,1
volunteer,1
vetted,1
vet,1
versus,1
verse,1
veep,1
ut,1
usc,1
ur,1
untrue,1
unsecured,1
unrest,1
unfunny,1
type,1
ty,1
turkey,1
tumble,1
tue,1
truthful,1
trusts,1
trusted,1
trumpu,1
trump=competence,1
trounced,1
troop,1
troll,1
trend,1
th…,1
thurs,1
thru,1
threshold,1
text,1
terms,1
ten,1
tel,1
tee,1
s…,1
suspend,1
suspect,1
surveys,1
surround,1
surged,1
sun,1
suggested,1
suggest,1
sue,1
succeed,1
subvert,1
subject,1
student,1
struggled,1
struck,1
steven,1
steer,1
ssr=true,1
spouses,1
spee…,1
speechless,1
snl,1
sneers,1
snd,1
sm,1
slots,1
slot,1
slog…,1
slc,1
skyrocket,1
sky,1
shultz,1
shreds,1
shop,1
shoddy,1
shocked,1
shld,1
sex,1
sellers,1
sees,1
seem,1
seek,1
sec,1
scrum,1
screws,1
screen,1
scotus,1
scene,1
r…,1
ruth,1
russell,1
rumsfeld,1
ruled,1
rule,1
rude,1
rs,1
row,1
rove,1
round,1
rouge,1
rosh,1
rose,1
roll,1
role,1
roger,1
rocked,1
robot,1
reversed,1
reverse,1
resulted,1
respectful,1
reserve,1
repubs,1
represents,1
represented,1
relentless,1
reg,1
refused,1
refocus,1
reflects,1
refers,1
referendum,1
red,1
recounts,1
reckless,1
recent,1
reboot,1
quo,1
p…,1
purposely,1
punch,1
pummled,1
pulse,1
pull,1
ptsd,1
pt,1
proved,1
proudly,1
prosperous,1
prospects,1
pros,1
prople,1
promoter,1
projected,1
product,1
producers,1
produced,1
prob,1
prez,1
prevent,1
pretends,1
pressured,1
pressed,1
precluded,1
ppl,1
pos,1
pope,1
pollster,1
polled,1
"poll
trump",1
poles,1
pol,1
pocketed,1
pocketbook,1
pocket,1
ploy,1
plotted,1
plenty,1
pledges,1
petty,1
pete,1
perjury,1
perfectly,1
peres,1
perdue,1
peo…,1
penned,1
ov…,1
ou…,1
opsec,1
oppresses,1
oppress,1
opo,1
opens,1
openly,1
oldest,1
observer,1
n…,1
nypd,1
nv,1
nukes,1
newly,1
never…,1
net,1
nerve,1
neo,1
neglected,1
mvp,1
museum,1
murder,1
msg,1
ms,1
moved,1
mosque,1
molten,1
model,1
mo,1
mgr,1
md,1
lynne,1
lynch,1
lucky,1
lt,1
lovely,1
loudly,1
louder,1
loopholes,1
looms,1
lol,1
lodge,1
locks,1
lgbt,1
let’s,1
letters,1
leppert,1
legend,1
lectured,1
l,1
ks,1
koster,1
key,1
kerry,1
kept,1
kennedy,1
kellogg,1
just…,1
"just
never",1
july,1
judged,1
jr,1
joey,1
jerks,1
jeffrey,1
jeffress,1
h…,1
humbled,1
huge,1
hud,1
hu,1
hrs,1
household,1
hotels,1
hopeful,1
holtz,1
hollywood,1
hole,1
holder,1
hold,1
guests,1
guest,1
guess,1
grows,1
ground,1
greeted,1
greet,1
gq,1
gov’t,1
gope,1
"good
news",1
golfer,1
golden,1
gender,1
futures,1
fury,1
fresh,1
french,1
fred,1
foul,1
fop,1
follows,1
fold,1
focused,1
fmr,1
fly,1
flow,1
flops↔️flops,1
floods,1
flood,1
felt,1
fec,1
feb,1
fdn,1
extended,1
expressed,1
exploded,1
exec,1
excuse,1
excellent,1
eve,1
entry,1
entered,1
enq,1
ene…,1
ends,1
employees,1
emboldened,1
elko,1
eldest,1
d…,1
dws,1
dry,1
drove,1
dropped,1
drew,1
dlg,1
devotes,1
devoted,1
develop,1
des,1
depressed,1
deny,1
dels,1
deflect,1
defends,1
defenders,1
deep,1
deduct,1
cycles,1
cuz,1
curse,1
cubs,1
crosse,1
cross,1
crooked’s,1
crook,1
co…,1
count…,1
countr…,1
counters”,1
count,1
counsel,1
cooper,1
cooked,1
com…,1
computer,1
composed,1
complex,1
competent,1
comm,1
column,1
colluded,1
collude,1
code,1
cnbc,1
clubs,1
clubgoers,1
closer,1
ch…,1
church,1
chokes,1
cd,1
cc,1
b…,1
busy,1
bust,1
bushy,1
bus,1
bury,1
burn,1
bully,1
brooks,1
bp,1
boys,1
boycott,1
boxes,1
box,1
bowls,1
bowden,1
booths,1
books,1
booker,1
booed,1
bomb,1
boldly,1
blood,1
block,1
blessed,1
"
xx",1
"
u",1
"
next",1
"
new",1
"
love",1
"
keep",1
"
green",1
"
golden",1
"
closes",1
"
",1
