word,frequency
trump,737
rt,724
vote,214
just,183
people,177
us,148
country,118
get,117
need,94
never,93
go,92
sure,76
good,74
got,61
pence,59
new,56
ever,56
see,52
proud,52
next,52
much,48
let,47
love,45
college,45
future,40
even,40
put,35
deserve,35
look,32
job,32
hope,31
left,30
jobs,30
elect,29
u,28
tell,27
respect,27
debt,27
tune,26
s,26
lot,26
house,26
de,26
run,25
keep,25
trust,24
progress,24
let’s,24
two,23
serve,23
gold,23
gets,23
voted,22
spent,22
student,21
defend,21
needs,20
looks,20
less,20
gun,20
speech,19
seen,19
must,19
voters,18
en,18
cut,18
close,18
y,16
three,16
lost,16
energy,16
else,16
turn,15
room,15
guy,15
free,15
text,14
students,14
reject,14
pretty,14
low,14
los,14
follow,14
feel,14
c…,14
school,13
protect,13
problem,13
mom,13
lgbt,13
try,12
trumps,12
set,12
que,12
prove,12
lose,12
hold,12
grow,12
represent,11
letter,11
ground,11
full,11
end,11
el,11
vp,10
send,10
sees,10
old,10
choose,10
yet,9
voter,9
test,9
street,9
polls,9
news,9
deserves,9
cuts,9
century,9
yes,8
used,8
use,8
sued,8
step,8
steel,8
mr,8
loved,8
joe,8
hurt,8
gop,8
colleges,8
z,7
succeed,7
strength,7
seems,7
schools,7
role,7
refuses,7
refused,7
proved,7
open,7
nc,7
move,7
led,7
ku,7
klux,7
codes,7
boo,7
volunteer,6
truth,6
truly,6
system,6
served,6
secret,6
problems,6
ok,6
judge,6
found,6
folks,6
elected,6
dnc,6
depends,6
deeply,6
cost,6
books,6
vs,5
volunteers,5
un,5
tv,5
though,5
success,5
shot,5
rnc,5
results,5
prouder,5
prevent,5
perfect,5
opened,5
needed,5
john,5
hopeful,5
et,5
deep,5
counted,5
count,5
completely,5
code,5
clue,5
bully,5
broken,5
zero,4
wrote,4
votes,4
urge,4
turns,4
turned,4
trusted,4
troops,4
sum,4
study,4
spoke,4
spend,4
sent,4
seem,4
rsvp,4
rest,4
respects,4
regret,4
reckless,4
products,4
openly,4
nyt,4
model,4
lots,4
loophole,4
locker,4
hurts,4
fund,4
fun,4
feels,4
enter,4
ensure,4
drug,4
des,4
deny,4
degree,4
decent,4
ceo,4
throw,3
tested,3
ted,3
suddenly,3
spends,3
server,3
seek,3
round,3
rooms,3
roe,3
respected,3
rent,3
reflect,3
reduce,3
puts,3
purple,3
ptsd,3
provoked,3
proves,3
proven,3
proudly,3
press,3
pres,3
pledged,3
odds,3
n…,3
nuestro,3
newt,3
mujeres,3
loss,3
loses,3
level,3
kept,3
keeps,3
judges,3
joy,3
jersey,3
huge,3
hrc,3
hq,3
hotel,3
guess,3
google,3
goes,3
futures,3
foster,3
foot,3
fl,3
ferns,3
fellow,3
eyes,3
experts,3
expense,3
es,3
enjoy,3
effect,3
duke,3
depend,3
del,3
crowd,3
cozy,3
cool,3
complete,3
compete,3
closest,3
closer,3
chooses,3
bus,3
bunch,3
boy,3
book,3
"
choose",3
"

follow",3
🎧,2
🇺🇸,2
”…,2
“two,2
“tell,2
“secret,2
“locker,2
“let,2
“,2
’,2
‘yes,2
—…,2
él,2
|,2
vets,2
urgent,2
throws,2
terms,2
tens,2
temper,2
tempe,2
suggests,2
suggested,2
successful,2
style,2
stuff,2
stress,2
steps,2
stepped,2
st,2
spot,2
sleeves,2
shoes,2
settle,2
sets,2
sense,2
seeks,2
secure,2
scott,2
schooled,2
romney,2
roll,2
rock,2
result,2
relentless,2
refuse,2
rebuke,2
push,2
purposes,2
pull,2
puede,2
pueblo,2
pts,2
protested,2
proposed,2
projects,2
project,2
process,2
preyed,2
pressure,2
pow,2
potus,2
post,2
pose,2
plot,2
pence’s,2
oldest,2
nurse,2
mucho,2
ms,2
mrs,2
moscow,2
models,2
mocks,2
m,2
l…,2
lucky,2
luck,2
loves,2
loud,2
loopholes,2
letters,2
les,2
le,2
knew,2
kkk,2
keys,2
kennedy,2
ken,2
keep…,2
jump,2
hundreds,2
humbly,2
humbled,2
humble,2
hopeless,2
hbcu,2
guys,2
guts,2
gotten,2
golds,2
generous,2
gender,2
funds,2
fully,2
fo…,2
food,2
focused,2
fe,2
fdr,2
fdn,2
extent,2
extended,2
except,2
este,2
empty,2
employees,2
effects,2
ed,2
duty,2
dump,2
drop,2
de…,2
devoted,2
destroyed,2
dept,2
defense,2
deepest,2
decency,2
"debt
✓revoke",2
curve,2
cruz,2
cruel,2
county,2
counts,2
countless,2
coulter,2
costs,2
computer,2
como,2
chose,2
choked,2
center,2
c,2
buy,2
busy,2
bush,2
burden,2
brooklyn,2
broke,2
box,2
bold,2
b,2
"
trump",2
"
lgbt",2
"
let’s",2
"
bush",2
"

let’s",2
🤔,1
🙌🙌🏻🙌🏼🙌…,1
🙌,1
👸🏽👸🏿👸🏻👸🏾👸🏼,1
👉,1
👀,1
🐣,1
🎩,1
🎤,1
🎓,1
🎂,1
❤️,1
→…,1
"”

guess",1
“él,1
“y,1
“trump,1
“student,1
“people,1
“ok,1
“loved”,1
“looks,1
“keep,1
“just,1
“hope,1
“get,1
“folks,1
“college”,1
“close”,1
“blue,1
‘locker,1
—sen,1
—rev,1
—joe,1
—gen,1
—bryce,1
—booker,1
–joe,1
–,1
¿y,1
¡newt,1
" 
",1
yuuuuuuge,1
yet…,1
wrecked,1
wow,1
wounded,1
wound,1
woody,1
woke,1
wh…,1
w,1
v̶p̶,1
voz,1
vogue,1
vez,1
ver…,1
versus,1
verge,1
veered,1
utterly,1
us…,1
usted,1
usps,1
uses,1
urges,1
urgency,1
urged,1
ur,1
untrue,1
unless,1
undressed,1
ugly,1
tú,1
type,1
tx,1
turner,1
turkey,1
tr…,1
truths,1
trusts,1
trum…,1
"trump

looks",1
tro…,1
thus,1
thumb,1
thugs,1
textbook,1
tests,1
term,1
terence,1
tenure,1
tent,1
tend,1
tells,1
teen,1
tech,1
t,1
s…,1
sí,1
symbol,1
suspense”,1
surrounds,1
surrender,1
surgery,1
suggest…,1
suggest,1
suffers,1
suffered,1
suffer,1
succeeds,1
st…,1
stu…,1
stunts,1
stumbled,1
struggled,1
struggle,1
struck,1
streep,1
stereotypes,1
stems,1
steer,1
sp…,1
spots,1
spoken,1
speechless,1
slurs,1
slots,1
sky’s,1
shut,1
shrugged,1
shots,1
shop,1
sexes,1
sex,1
sever,1
seventh,1
seven,1
serv…,1
ser,1
sept,1
senseless,1
sell,1
según,1
seeds,1
secr…,1
sec,1
r…,1
rush,1
runs,1
rules,1
roughly,1
rouge,1
rosh,1
roots,1
rooted,1
root,1
room”,1
rolls,1
rogers,1
re…,1
revolves,1
res…,1
resembles,1
rescue,1
repub…,1
represents,1
rep,1
remove,1
relent,1
refuge,1
refo…,1
reference,1
reel,1
recount”,1
recent,1
rebukes,1
rebuked,1
r,1
quotes,1
quote,1
quo,1
p…,1
pulse,1
puedes,1
psychology,1
pr…,1
provoke,1
proud”,1
protegerá,1
protected,1
prosperous,1
proposes,1
prom,1
produced,1
produce,1
pretends,1
pretended,1
pressed,1
preserve,1
present,1
pr,1
ppl,1
po…,1
pounds,1
poster,1
posted,1
pockets,1
pocketed,1
pocket,1
pe…,1
petersburg,1
perplexed,1
perjury,1
perfectly,1
peres,1
per,1
penc…,1
pen,1
pembroke,1
pell,1
peer,1
peddle,1
p,1
ou…,1
ounce,1
otros,1
opposed,1
oppose,1
older,1
oh,1
odd,1
objects,1
nuevo,1
nj,1
nh,1
net,1
nervous,1
needed…,1
nbc,1
n,1
mí,1
muster,1
museum,1
muro—entre,1
murders,1
muchos,1
moved,1
mosul,1
mosque,1
moms,1
modern,1
mob,1
lópez,1
lunch,1
lucy,1
louder,1
lou,1
losses,1
loose,1
looked,1
lo,1
ley,1
letter…,1
lens,1
lego,1
lee,1
lecture,1
key,1
kelly,1
k,1
j…,1
jury,1
june,1
juez,1
jude,1
joyful,1
jokes,1
jogger,1
joel,1
hyde,1
hurry,1
hundred,1
hoy,1
household…,1
hot,1
hopes,1
hook,1
holder,1
hbcus,1
h,1
guterres,1
gunsense,1
guns,1
guest,1
guesses,1
grounded,1
greeted,1
gov,1
got”,1
gotv,1
golfer,1
golf,1
golden,1
god’s,1
god,1
glue,1
ge…,1
get…,1
gettysburg,1
gem,1
f…,1
fun”,1
fuerte,1
ftw,1
fresh,1
frequently,1
freestyle,1
freer,1
freely,1
fox,1
"food
college",1
focus,1
fly,1
flew,1
ferrell,1
fencer,1
feel…,1
fec,1
e…,1
eye,1
extend,1
expresses,1
expressed,1
express,1
expected,1
expect,1
excuse,1
excellent,1
exceeded,1
exceed,1
evokes,1
event,1
eve,1
essence,1
entrust,1
enjoyed,1
endured,1
ended,1
employers,1
employee,1
else’s,1
eloquently,1
ego,1
eco…,1
duke’s,1
due,1
drugs,1
drew,1
dressed,1
dr,1
developers,1
des…,1
destroy,1
desk,1
deserved,1
derechos,1
deployed,1
denver,1
dem…,1
demás,1
demo,1
dem,1
defund,1
deflect,1
defende…,1
defender,1
defended,1
deeper,1
deeds,1
deducted,1
decent…,1
debunked,1
debt”,1
debts,1
currently,1
current,1
cured,1
cubs,1
ct,1
cs,1
cruz’s,1
crow,1
crew,1
creed,1
cree,1
country’s,1
country—deserves,1
copy,1
computers,1
col…,1
columbus,1
collected,1
coded,1
club”,1
closely,1
church,1
chosen,1
choke,1
choco,1
cents,1
cent,1
buys,1
busey,1
buffett,1
buckles,1
bucket,1
brussels—,1
bow,1
boundless,1
boss,1
boo—buck,1
booth,1
"books
🏡",1
booker,1
bombs,1
bomb,1
body,1
bob,1
bluster,1
blue,1
blow,1
bloody,1
bless,1
bled,1
=,1
"
✓lost",1
"
yes",1
"
voter",1
"
see",1
"
god",1
"
cut",1
"
ch…",1
"

→",1
"

vote",1
"

try",1
"

trump’s",1
"

text",1
"

prove",1
"

keep",1
"

just",1
"

h…",1
"

htt…",1
"

god",1
"

go",1
"

get",1
"

choose",1
"

",1
